allowed,code,crossings_per_hour,long_signal_allowed,long_signal_reasons,market_group,net_capacity_per_hour,profile,quote_volume_per_hour,reason,reversal_ratio,scenario,split,spread_to_step_ratio,symbol,trade_count_per_hour,window_key,zero_activity_ratio
False,VIABILITY_BLOCKED,4.666666666666667,,,US_STOCK,0.020544306000267243,N20,12625.9378,Grid Viability Gate 未通过：零成交分钟比例过高 (0.2167 > 0.2000),0.29310344827586204,EXECUTION_STRESS,Development,0.028298144152902157,MUUSDT,374.0,US_STOCK:2026-04-17T20:00:00+00:00:2026-04-20T08:00:00+00:00,0.21666666666666667
False,VIABILITY_BLOCKED,4.666666666666667,,,US_STOCK,0.018677639333600577,N20,12625.9378,Grid Viability Gate 未通过：零成交分钟比例过高 (0.2167 > 0.2000),0.29310344827586204,MAKER_PROMO_OFF,Development,0.028298144152902157,MUUSDT,374.0,US_STOCK:2026-04-17T20:00:00+00:00:2026-04-20T08:00:00+00:00,0.21666666666666667
True,PASSED,3.3333333333333335,,,US_STOCK,0.011236837619238507,N20,34311.1645,,0.5689655172413793,PRIMARY_ZERO_MAKER,Development,0.028298144152902157,MUUSDT,494.0,US_STOCK:2026-04-24T20:00:00+00:00:2026-04-27T08:00:00+00:00,0.03333333333333333
True,PASSED,3.3333333333333335,,,US_STOCK,0.011236837619238507,N20,34311.1645,,0.5689655172413793,EXECUTION_STRESS,Development,0.028298144152902157,MUUSDT,494.0,US_STOCK:2026-04-24T20:00:00+00:00:2026-04-27T08:00:00+00:00,0.03333333333333333
True,PASSED,3.3333333333333335,,,US_STOCK,0.009903504285905173,N20,34311.1645,,0.5689655172413793,MAKER_PROMO_OFF,Development,0.028298144152902157,MUUSDT,494.0,US_STOCK:2026-04-24T20:00:00+00:00:2026-04-27T08:00:00+00:00,0.03333333333333333
True,PASSED,2.6666666666666665,,,US_STOCK,0.013155456450328895,N20,1285031.9392000004,,0.6206896551724138,PRIMARY_ZERO_MAKER,Development,0.03256599083014499,MUUSDT,4897.0,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00,0.0
True,PASSED,2.6666666666666665,,,US_STOCK,0.013155456450328895,N20,1285031.9392000004,,0.6206896551724138,EXECUTION_STRESS,Development,0.03256599083014499,MUUSDT,4897.0,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00,0.0
True,PASSED,2.6666666666666665,,,US_STOCK,0.01208878978366223,N20,1285031.9392000004,,0.6206896551724138,MAKER_PROMO_OFF,Development,0.03256599083014499,MUUSDT,4897.0,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00,0.0
False,VIABILITY_BLOCKED,1.631578947368421,,,US_STOCK,5.068982558460538e-05,N100,1285031.9392000004,Grid Viability Gate 未通过：预计费后循环容量不足 (0.000051 < 0.000250/h),0.6206896551724138,PRIMARY_ZERO_MAKER,Development,0.16140122635937731,MUUSDT,4897.0,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00,0.0
False,VIABILITY_BLOCKED,1.631578947368421,,,US_STOCK,5.068982558460538e-05,N100,1285031.9392000004,Grid Viability Gate 未通过：预计费后循环容量不足 (0.000051 < 0.000250/h),0.6206896551724138,EXECUTION_STRESS,Development,0.16140122635937731,MUUSDT,4897.0,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00,0.0
True,PASSED,1.6666666666666667,,,US_STOCK,0.0045282676106848324,N20,1489398.0157999995,,0.41379310344827586,PRIMARY_ZERO_MAKER,Development,0.03282363390621565,MUUSDT,7055.0,US_STOCK:2026-05-22T20:00:00+00:00:2026-05-26T08:00:00+00:00,0.0
True,PASSED,1.6666666666666667,,,US_STOCK,0.0045282676106848324,N20,1489398.0157999995,,0.41379310344827586,EXECUTION_STRESS,Development,0.03282363390621565,MUUSDT,7055.0,US_STOCK:2026-05-22T20:00:00+00:00:2026-05-26T08:00:00+00:00,0.0
True,PASSED,1.6666666666666667,,,US_STOCK,0.003861600944018166,N20,1489398.0157999995,,0.41379310344827586,MAKER_PROMO_OFF,Development,0.03282363390621565,MUUSDT,7055.0,US_STOCK:2026-05-22T20:00:00+00:00:2026-05-26T08:00:00+00:00,0.0
True,PASSED,5.5,,,US_STOCK,0.0159087541876119,N20,1751025.3377,,0.41379310344827586,PRIMARY_ZERO_MAKER,Development,0.06374541079632869,MUUSDT,6575.0,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00,0.0
True,PASSED,5.5,,,US_STOCK,0.0159087541876119,N20,1751025.3377,,0.41379310344827586,EXECUTION_STRESS,Development,0.06374541079632869,MUUSDT,6575.0,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00,0.0
